index,weekid,week position,song,performer,genre,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,year,decade
253331,1958-10-25,46,Give Myself A Party,Don Gibson,"['nashville sound', 'rock-and-roll', 'rockabilly']",160173.0,False,0.627,0.499,7.0,-8.413999999999998,1.0,0.0304,0.544,0.0,0.4109999999999999,0.931,111.869,15.0,1958,1950
224892,1958-11-01,1,It's All In The Game,Tommy Edwards,"['deep adult standards', 'doo-wop']",159040.0,False,0.384,0.276,3.0,-13.527,1.0,0.0295,0.038,0.0,0.309,0.654,105.181,49.0,1958,1950
195236,1958-11-01,6,Chantilly Lace,Big Bopper,"['rhythm and blues', 'rock-and-roll', 'rockabilly']",145266.0,False,0.4889999999999999,0.806,3.0,-6.054,1.0,0.0858,0.8409999999999999,3e-05,0.0687,0.944,172.269,55.0,1958,1950
40889,1958-11-01,33,The Blob,The Five Blobs,[],160733.0,False,0.6039999999999999,0.658,10.0,-7.323,1.0,0.0648,0.3049999999999999,0.2,0.0849,0.91,78.257,31.0,1958,1950
249931,1958-11-08,10,I Got A Feeling,Ricky Nelson,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']",125440.0,False,0.661,0.682,9.0,-8.339,1.0,0.0311,0.399,5e-06,0.0821999999999999,0.967,86.37099999999998,22.0,1958,1950
228366,1958-11-08,16,Mexican Hat Rock,The Applejacks,"['british invasion', 'merseybeat']",125920.0,False,0.521,0.7049999999999998,7.0,-6.236,1.0,0.106,0.6009999999999999,0.0645,0.3539999999999999,0.96,123.884,5.0,1958,1950
156060,1958-11-08,21,Call Me,Johnny Mathis,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold', 'vocal jazz']",167026.0,False,0.2919999999999999,0.4939999999999999,5.0,-9.896,1.0,0.0323,0.754,0.0,0.0969,0.397,86.85899999999998,8.0,1958,1950
196875,1958-11-08,28,With Your Love,Jack Scott,"['brill building pop', 'deep adult standards', 'rock-and-roll', 'rockabilly']",123506.0,False,0.372,0.258,9.0,-12.183,1.0,0.0278,0.933,0.000243,0.138,0.281,143.285,9.0,1958,1950
81553,1958-11-08,38,All Over Again,Johnny Cash,"['arkansas country', 'outlaw country']",132400.0,False,0.7339999999999999,0.6029999999999999,3.0,-10.394,1.0,0.0503,0.568,5e-06,0.106,0.787,108.594,35.0,1958,1950
70737,1958-11-15,1,Tom Dooley,The Kingston Trio,"['american folk revival', 'bubblegum pop', 'folk', 'folk rock', 'traditional folk']",183973.0,False,0.648,0.1439999999999999,4.0,-13.842,1.0,0.0441,0.8269999999999998,7e-06,0.109,0.497,125.974,43.0,1958,1950
124228,1958-11-15,3,Topsy II,Cozy Cole,[],216266.0,False,0.459,0.772,7.0,-10.642,1.0,0.0303,0.7359999999999999,0.131,0.277,0.573,93.24,1.0,1958,1950
154971,1958-11-15,9,Queen Of The Hop,Bobby Darin,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'motown', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']",131666.0,False,0.786,0.641,5.0,-16.072,1.0,0.0722,0.7029999999999998,3e-06,0.152,0.948,139.472,30.0,1958,1950
